 
00:00:00     device    %busy    avque    r+w/s    Kbs/s   avwait   avserv
00:10:00            hdisk163     21      0.0       17      518      0.1     65.6
00:10:00            hdisk172     21      0.0       18      542      0.4     64.8
00:10:00            hdisk161     21      0.0       18      487      0.0     63.8
00:10:00            hdisk158     21      0.0       19      715      0.3     64.7
00:10:00            hdisk170     21      0.0       18      581      0.0     66.2
00:10:00            hdisk173     21      0.0       18      574      0.0     65.9
00:10:00            hdisk171     21      0.0       17      556      0.0     64.4
00:10:00            hdisk174     21      0.0       18      498      0.0     63.8
00:10:00            hdisk182      0      0.0        0        0      0.0      0.0
00:10:00            hdisk179     21      0.0       18      593      0.1     64.5
00:10:00            hdisk180      0      0.0        0        0      0.0      0.0
